способный, умелый;able
про, об, о;about
за границей;abroad
принимать, признавать, соглашаться, допускать;accept
доступ;access
несчастный случай;accident
аккаунт, учётная запись, счёт;account
достигать;achieve
действия;act
действие;action
деятельность;activity
актер;actor
актриса;actress
адрес;address
добавляет;adds
преимущество;advantage
приключение;adventure
объявление, реклама;advertisement
реклама;advertising
совет;advice
влиять, затрагивать, воздействовать;affect
испуганный;afraid
после;after
после обеда;afternoon
опять, снова;again
против;against
возраст;age
агент;agent
тому назад, назад;ago
соглашаться, соглашается;agree
соглашение;agreement
цель;aim
самолет;airplane
аэропорт;airport
воздух;airs
алкоголь;alcohol
живой;alive
все;all
позволять;allow
позволил, разрешил;allowed
разрешает;allows
почти;almost
один;alone
рядом, вдоль;along
уже;already
также;also
альтернативный;alternative
всегда;always
машина скорой помощи;ambulance
​​Америка;America
американский;american
среди, между;among
количество;amount
анализ;analysis
анализировать;analyze
объявляет;announce
другой;another
отвечать;answer
отвечает;answers
любой;any
кто-нибудь;anybody
что-нибудь;anything
где угодно;anywhere
появляться, появляется;appear
появляется;appears
приложение, заявление;application
применить, подать заявку;apply
встреча, приём, деловое свидание;appointment
приблизительно, примерно;approximately
апрель;april
архитектор;architect
район, область, площадь;area
аргумент;argument
рука;arm
армия;army
вокруг;around
арест;arrest
прибывает;arrive
прибыл;arrived
искусство;art
статья;article
художник, артист, музыкант;artist
как;as
спрашивать;ask
спрашивал, просил;asked
спрашивает;asks
предполагать;assume
предположил;assumed
предполагает;assumes
у, в, за, при, по, на;at
спортсмен;athlete
атака;attack
попытка;attempt
внимание;attention
отношение, позиция, мироощущение;attitude
аудитория;audience
август;august
тетя;aunt
автор;author
доступный;available
проспект;avenue
средняя;average
избегать;avoid
награды;awards
прочь, вдали;away
малыш, ребенок, младенец;baby
спина;back
рюкзак;backpack
плохой;bad
сумка;bag
мяч;ball
группа;band
банк;bank
бар;bar
корзина;basket
баскетбол;basketball
ванная;bathroom
аккумулятор, батарея;battery
битва;battle
пляж;beach
удар, бить, побеждать;beat
красивый;beautiful
красота, салон красоты;beauty
потому что;because
становиться, делаться;become
кровать;bed
простыни;bedsheets
был;been
перед, до того как, прежде, раньше, до;before
начинать;begin
начинает;begins
поведение;behavior
позади;behind
верить;believe
верит;believes
колокол;bell
принадлежать;belong
преимущества, выгоды;benefits
лучший;best
лучше;better
между;between
велосипед;bicycle
большой;big
больше, больший, более крупный;bigger
двуязычный;bilingual
рождение;births
немного;bit
возлагать вину;blame
кровь;blood
управление, департамент, доска;board
лодка;boat
тело;body
граница;border
босс;boss
оба;both
бутылка;bottle
миска;bowl
коробка;box
приятель, парень, возлюбленный;boyfriend
мозг;brain
бренд;brand
мост;bridge
братья;brothers
бюджет;budget
строить;build
здания;buildings
автобус;bus
бизнес;business
но;but
мимо, рядом, около, возле, благодаря;by
кабинет, правительство, шкаф;cabinet
календарь;calendar
вызов, звонить, звать, называть, крик, звонок;call
назвал, позвал, позвонил;called
звонить;calling
звонит;calls
камера;camera
кампания;campaign
быть в состоянии сделать что-либо, уметь, мочь, может;can
рак;cancer
кандидат;candidate
не могу;cannot
столица;capital
капитан;captain
автомобиль;car
карта;card
уход;care
карьера;career
случай;case
замок;castle
категории;categories
причина;cause
сотовый телефон;cellphone
центр;center
столетие;century
цепь;chain
стул;chair
чемпионат;championship
изменение, менять;change
изменил;changed
канал;channel
глава;chapter
персонаж, характер;character
заряд;charge
дешевый;cheaper
проверка, чек;check
химия;chemistry
грудь;chest
Китай;China
китайский;chinese
выбор;choice
выбирать;choose
церковь;church
кинотеатр;cinema
круг;circle
гражданин;citizen
город;city
класс;class
чистый;clean
чистый;cleaner
ясный;clear
ясно, отчетливо, очевидно;clearly
климат;climate
часы;clock
закрыл;closed
тренер;coach
берег;coast
холодный;cold
коллекция;collection
колледж;college
расческа, гребень, расчесывание;comb
приезжать, подойти, идти;come
приходит;comes
подходить;coming
комментарии;comments
комитет;committee
общение;communication
сообщество;community
компания;company
конкуренция;competition
полностью;completely
компьютер;computer
концепция;concept
концерт;concert
заключение, вывод;conclusion
условия, режим, обстановка, состояние;conditions
конференция;conference
конфликт;conflict
конгресс;congress
последствия;consequences
рассмотреть, обсудить, обдумывать, считать, учитывать;consider
строительство;construction
содержит;contains
содержание;content
конкурс;contest
продолжать;continue
продолжает;continues
контракт;contract
контроль;control
удобный;convenient
разговор;conversation
повар, готовить;cook
приготовил, сварил;cooked
готовить;cooking
готовит;cooks
угол;corner
стоимость;cost
расходы;costs
могли, мог, мочь;could
считать, рассчитывать;count
страна;country
считает;counts
пара;couple
конечно, курс;course
суд;court
прикрывать, защищать, накрывать, закрывать, покрышка;cover
создает;creates
кредит;credit
преступление;crime
кризис;crisis
урожай;crop
культурный;cultural
культура;culture
чашка;cup
валюта;currency
в настоящее время;currently
резать, вырезать;cut
режет;cuts
цикл;cycle
папа;dad
урон, ущерб;damage
танец;dance
опасность;danger
темный;dark
дата;date
дочь;daughter
день;day
сделка;deal
смерть;death
долг;debt
десятилетие;decade
декабрь;december
решение;decision
снижение, уменьшение;decrease
глубокий;deep
определять;define
определенно;definitely
определение;definition
градусы;degrees
доставляет;deliver
доставляет;delivers
доставка;delivery
требование;demand
требует;demands
отдел;department
отправление, выезд;departure
глубина;depth
описание;description
дизайн, проектировать;design
желание;desire
письменный стол;desk
детали;details
развивать;develop
разработал, развил;developed
умереть;die
диета;diet
различие;difference
другой;different
трудность, затруднение;difficulty
направление, управление;direction
режиссёр, руководитель, начальник, директор;director
грязный;dirty
открытие;discover
открытие;discovery
обсуждение;discussion
болезнь;disease
расстояние;distance
район;district
доктор;doctor
документы;documents
делать;doing
доллары;dollars
сделанный, законченный;done
дверь;door
точки;dots
сомнения;doubts
вниз;down
сон;dream
пить;drink
пить;drinking
везти, ездить, водить, ехать;drive
наркотики;drugs
выпил;drunk
сушит;dry
во время;during
пыль;dust
каждый;each
уши;ears
земля;earth
легко;easily
есть;eat
поел;eaten
есть;eating
экономика;economy
край;edge
издание;edition
образование;education
эффект;effect
эффективный;efficient
усилия;efforts
восемь;eight
восемнадцать;eighteen
восемьдесят;eighty
выборы;elections
электричество;electric
одиннадцать;eleven
еще;else
запасной, аварийный, экстренный;emergency
заканчивает;ends
враг;enemy
энергия;energy
двигатель;engine
инженер;engineer
Англия;England
достаточно, довольно;enough
вход;entrance
вход;entry
оборудование;equipment
особенно;especially
Европа;Europe
европейский;european
даже, ещё, ровный;even
вечер;evening
когда-либо;ever
каждый;every
каждый, все, кто угодно;everybody
каждый, все, все люди;everyone
все;everything
доказательства;evidence
точно;exactly
пример;example
превосходный, отличный;excellent
кроме;except
упражнение;exercise
упражнения, тренировка;exercises
существовать;exist
существование;existence
выход;exit
дорогой;expensive
опыт;experience
объяснять;explain
объясняет;explains
объяснение;explanation
выражение;expression
глаза;eyes
лицо;face
терпеть неудачу;fail
сбой, повреждение, небрежность, неудача, отказ, недостаточность;failure
справедливый, ярмарка;fair
вера;faith
осень;fall
знакомый;familiar
семья;family
знаменитый;famous
далеко;far
ферма;farm
фермер;farmer
мода;fashion
быстрый;fast
отец;father
дефект, ошибка, вина, неисправность;fault
одолжение, предпочтение, благосклонность;favor
страх;fear
февраль;february
чувствовать;feel
чувствует;feels
почувствовал, чувствовал;felt
несколько, мало;few
поле;field
пятнадцать;fifteen
пятьдесят;fifty
фигура;figure
заполнять, наполнять;fill
фильм, пленка;film
окончательный;final
наконец;finally
найти;find
находит;finds
пальцы;fingers
заканчивать;finish
Закончил;finished
огонь;fire
фирма, организация;firm
первый;first
подходить, вписываться, помещаться;fit
подходит, помещается;fits
пять;five
флаг;flag
рейс;flight
пол;floor
цветы;flowers
флейта;flute
летает;fly
следовать;follow
сопроводил, проследовал;followed
следовать;following
следует;follows
нога;foot
для;for
сила, принуждение, усилие;force
принудил, заставил;forced
лес;forest
забывать;forget
вилки;forks
формула;formula
сорок;forty
фонд;foundation
четыре;four
четырнадцать;fourteen
четвертый;fourth
Франция;France
бесплатный;free
свобода;freedom
французский;french
частый;frequent
пятница;friday
друг;friend
от, из;from
фронт, фасад, передняя часть;front
полный;full
будущий;future
игра;game
сад;garden
газ;gas
генеральный, главный, генерал;general
как правило, обычно, в основном;generally
поколение;generation
география;geography
немецкий;german
Германия;Germany
получает;gets
получать;getting
девушка, подруга, возлюбленная;girlfriend
давать;give
дал;given
дает;gives
давать;giving
стекло, стакан;glass
глобальный;global
идти;go
гол;goal
идет;goes
идти, пойти;going
золото;gold
прошёл, ушёл;gone
хороший;good
правительство;government
губернаторы;governors
класс;grade
дед;grandfather
бабушка;grandmother
трава;grass
отличный;great
земля;ground
группа;group
охранник;guard
гид, путеводитель, направляющая;guide
спортзал;gym
имел, было;had
волосы;hair
​​половина;half
рука;hand
происходить, случай, событие, происшествие;happening
счастливый;happy
жесткий;hard
было, имел;has
ненавидеть, ненависть, ненавидит;hate
было, имел;have
иметь;having
голова;head
здоровье;health
слышать;hear
услышал;heard
слышит;hears
сердце;heart
тепло, жара;heat
высота;height
помощь;help
помогает;helps
здесь;here
исторический;historical
история;history
дом;home
честь;honor
надежда, надеяться;hope
больница;hospital
горячий;hot
гостиница;hotel
час;hour
дом;house
как;how
однако, тем не менее;however
человеческий;human
люди;humans
юмор;humor
сто;hundred
муж;husband
идея;idea
идентичность;identity
если;if
болен;ill
болезнь;illness
изображение;images
импортирует, ввозит;import
важность;importance
важный;important
невозможный;impossible
улучшать;improve
в;in
включать;include
включает;includes
включать;including
увеличивать;increase
независимый;independent
личность, физическое лицо;individuals
промышленность;industry
информация;information
внутри;inside
экземпляр, образец, инстанция;instance
институт;institute
инструмент;instrument
страхование;insurance
интерес;interest
интересный;interesting
международный;international
интернет;internet
интервью;interview
в;into
вводить, представить, вводит, знакомит;introduce
внедрил, познакомил, ввел;introduced
введение;introduction
исследование;investigation
инвестиции;investment
остров;island
вопрос, проблема;issue
итальянский;italian
итальянский;italians
январь;january
работа;job
журналист;journalist
путешествие;journey
радость;joy
судья;judge
июль;july
прыжок;jump
прыжки;jumps
июнь;june
просто, как раз;just
ключ;key
удар;kick
вид, добрый;kind
король;king
кухня;kitchen
нож;knife
знать;know
знания;knowledge
знал;known
знает;knows
лаборатория;laboratory
отсутствие, недостаток;lack
леди;lady
лампа;lamp
земля;land
пейзаж, ландшафт;landscape
язык;language
большой;large
последний;last
поздно;late
позже;later
закон;law
юрист;lawyer
лидер;leader
лист;leaf
по крайней мере, как минимум;least
оставлять;leave
оставляет, покидает;leaves
покидать;leaving
лекция;lecture
оставил, уехал, бросил, левый;left
юридический, законный;legal
ноги;legs
длина;length
менее, меньше;less
позволять, разрешать;let
позволяет, разрешает;lets
письмо;letter
уровень;level
библиотека;library
жизнь;life
свет;light
как, нравится, любить;like
любит;likes
предел;limit
линия;line
губы;lips
список;list
слушать;listen
слушает;listens
литература;literature
маленький;little
жить;live
жил;lived
живет;lives
живой;living
нагрузка, загрузка;load
местный;local
длинный;long
смотреть, взгляд;look
смотреть, смотреть, искать;looking
смотрит, выглядит;looks
потерять;lose
потерял, проиграл;lost
лот;lot
любовь;love
любит;loves
удача;luck
машина;machine
журнал;magazine
главный;main
большинство;majority
сделать;make
делает;makes
делать;making
много;many
карта;map
марафон;marathon
март;march
пометить;mark
рынок;market
брак;marriage
масса;mass
матч;match
материал;material
материя, вопрос;matter
май, иметь возможность;may
мэр;mayor
смысл, значение;meaning
мера;measure
медицина;medicine
встречаться;meet
встреча, собрание, митинг;meetings
участники;members
память;memory
сообщение;message
встретил;met
метр;meter
метод;method
военный;military
миллион;million
ум;mind
минимальный;minimum
минута;minute
зеркало;mirror
скучать, пропустить, упустить, пропускает, скучает;miss
пропустил, соскучился;missed
ошибка;mistake
смешивает;mix
модель;model
современный;modern
момент;moment
понедельник;monday
деньги;money
месяцы;months
луна;moon
больше;more
утро;morning
мать;mother
двигатель;motor
мотоцикл;motorcycle
гора;mountain
рот;mouth
кино;movie
много;much
убийство;murder
музей;museum
музыка;music
музыка;musical
должен;must
имя;name
национальный;national
природа;nature
военно-морской флот;navy
рядом, возле;near
обязательно;necessarily
необходимый;necessary
шея;neck
нуждаться;need
нуждается;needs
отрицательный;negative
окрестности, район, соседство;neighborhood
ни;neither
сеть;network
никогда;never
новый;new
новости;news
следующий;next
приятный;nice
ночь;night
девять;nine
девятнадцать;nineteen
девяносто;ninety
не, нет;no
никого, никто;nobody
шум;noise
никого, ни один, ничего;none
ни;nor
нормальный;normal
обычно, нормально;normally
север;north
нос;nose
примечание, записка;note
ничего;nothing
роман;novel
ноябрь;november
сейчас;now
число;number
медсестра;nurse
объект;object
цель;objective
случай;occasion
октябрь;october
из;of
от;off
предлагать, предложение;offer
предлагает;offers
офис;office
офицер;officer
официальный;official
старый;old
старый;older
на, по;on
однажды;once
один, один, тот;one
только, всего лишь;only
открывать, открытый;open
открыл;opened
открытие;opening
открывает;opens
операция;operation
мнение;opinion
возможности;opportunity
противоположный;opposite
выбор, вариант;option
или;or
заказ, приказ;order
заказал, приказал;ordered
организация;organization
происхождение, источник, начало;origin
другой;other
вне;out
над;over
собственный;own
страницы;pages
заплатил;paid
боль;pain
краска;paint
живопись;painting
пара;pair
дворец;palace
кастрюля, сковорода;pan
бумага;paper
родители;parents
парк;park
парламент;parliament
часть;part
вечеринка;party
пройти,  передавать;pass
прошел;passed
паспорт;passport
тропы, пути, дорожки;paths
пациенты;patients
платить;pay
платить;paying
платит;pays
мир;peace
ручка;pen
человек;people
в;per
совершенный;perfect
совершенно, отлично, идеально;perfectly
представление;performance
выполнил, выступил, исполнил;performed
период;period
разрешение, позволение;permission
разрешение, пропуск;permit
персона, лицо;person
персональный, личный;personal
личность, индивидуальность;personality
философия;philosophy
телефон;phone
фото;photo
фотография;photography
фраза;phrase
физика;physics
фотография;pictures
кусок;piece
место;place
план;plan
самолет;plane
планета;planet
растение;plant
играть;play
играл;played
игрок;player
играть;playing
играет;plays
удовольствие;pleasure
поэзия;poetry
точка, очко;point
полиция;police
бассейн;pool
бедный;poor
популярный;popular
население;population
порт;port
португальский;portuguese
позиция;position
позитивный;positive
возможность, шанс;possibility
возможный;possible
возможно;possibly
открытка;postcard
порошок;powder
сила, мощность, власть, энергия;power
практика;practice
подготовка;preparation
готовить, подготовить;prepare
подготовил;prepared
представлять;present
презентация, выступление, доклад;presentation
представил, вручил, подарил;presented
представляет, дарит;presents
президент;president
пресса;press
красивый;prettier
красивый, довольно, красивая, милая;pretty
предотвращать, не допускать;prevent
предыдущий, ранее;previous
ранее, предварительно;previously
цена;price
принц;prince
тюрьма;prison
частный;private
приз, премия;prize
проблема;problem
производить, производит;produce
произвел, изготовил;produced
производит;produces
продукт;product
производство;production
профессия;profession
профессиональный;professional
профессор;professor
профиль;profile
программа;program
прогресс;progress
проект;project
продвижение, раскрутка;promotion
собственность, свойство;property
защита;protection
открытый, общественный, публичный;public
публикация;publication
чистый;pure
цель, намерение;purpose
положил, поставил, поместил, одел, надел, ставит;put
ставит;puts
качество;quality
количество;quantity
королева;queen
ракетка;racket
радио;radio
дождь;rain
прошел дождь;rained
дождь;raining
дождь;rains
поднимать, растить;raise
бритва;razor
достигать;reach
прочитал, читать;read
читать;reading
готов;ready
настоящий;real
реальность;reality
реально, действительно;really
причина, повод;reason
получил;received
получает;receives
недавний, последний;recent
запись;record
восстанавливать;recover
уменьшил;reduced
регион;region
отношения;relations
отношения;relationship
религия;religion
религиозный;religious
запомнить, помнить, запомнить;remember
повторять;repeat
отчёт, доклад;report
исследование;research
резервирует, бронирует;reserve
бронирует;reserves
уважение, уважает;respect
отвечать;respond
ответ;response
ответственность, обязанность;responsibility
ответственный;responsible
отдых, отдыхать;rest
ресторан;restaurant
результаты;results
возвращать;return
возвращает;returns
обзор;review
богатый;rich
справа;right
риски;risks
река;river
дорога;road
роль;role
крыша;roof
комната;room
корень;root
розы;roses
маршрут, путь, дорога;route
бегать;run
бежать;running
бежит;runs
грустный, печальный;sad
безопасность;safety
сказал;said
продажа;sale
тот же, такой же;same
образец, пример;sample
песок;sand
суббота;saturday
сохранять;save
сказать;say
говорить;saying
говорит;says
масштаб;scale
сцена;scene
школа;school
наука;science
ученый;scientist
ножницы;scissors
забитый;scored
экран;screen
море;sea
поиск;search
ищет;searches
сезон;season
секунда;second
секрет;secret
секретарь;secretary
раздел, часть, секция;section
безопасность;security
видеть;see
видеть;seeing
кажется;seems
видел, увидел;seen
видит;sees
сенатор;senator
отправил, послал;sent
сентябрь;september
серьезный;serious
обслуживать;serve
обслуживает;serves
сервис;service
устанавливает;sets
семь;seven
семнадцать;seventeen
семьдесят;seventy
тень;shadow
форма;shape
резкий, острый;sharp
листы;sheets
корабль;ship
короткий;short
должен;should
показать;show
показывает;shows
закрывать;shut
братья и сестры;siblings
больной;sick
противоположная сторона;side
вид;sight
подписывать;sign
сигнал;signal
подпись;signature
подписывает;signs
простой;simple
с тех пор;since
поет;sing
сестра;sister
место, сайт;site
сидеть;sitting
ситуации;situations
шесть;six
шестнадцать;sixteen
шестьдесят;sixty
размеры;sizes
кожа;skin
небо;sky
спать;sleep
спать;sleeping
спит;sleeps
медленно;slowly
маленький;small
меньше;smaller
улыбка;smile
дым;smoke
так;so
мыло;soap
футбол;soccer
общество;society
диван;sofa
почва;soil
солдаты;soldiers
решение;solution
некоторые, несколько;some
некто;someone
что-то;something
иногда;sometimes
сын;son
песня;song
скоро;soon
звук;sound
юг;south
пространство;space
испанский;spanish
говорить;speaking
специальный, особенный;special
речь;speech
скорость;speed
тратит, расходует, проводит время;spend
говорил;spoken
губка;sponge
ложка;spoon
спорт;sports
весна;spring
площадь, сквер, квадрат;square
персонал;staff
этап, стадия;stage
марки;stamps
звезда;star
начало;start
начинать;starting
начинает;starts
станция;station
оставаться;stay
шаг;step
до сих пор, еще;still
камень;stone
останавливаться, остановить, остановка;stop
остановился;stopped
рассказ;story
стратегия;strategy
улицы;streets
сила;strength
забастовка;strike
строка, веревка, нить;string
сильный;strong
студент;student
изучение, исследование;studies
исследование, изучение, учиться;study
изучать;studying
стиль;style
тема, предмет;subject
метро;subway
успех;success
такие, эти, подобные;such
страдать;suffer
чемодан;suitcase
сумма;sum
лето;summer
солнце;sun
воскресенье;sunday
поддерживать;support
поддерживает;supports
конечно, уверен;sure
поверхность;surface
сюрприз, удивление;surprise
сладкий;sweet
плавать;swim
плавать, плавание;swimming
плавает;swims
символ;symbol
система;system
столы;tables
взять, брать;take
взял, принял;taken
берет;takes
брать;taking
говорить;talk
разговаривать;talking
разговаривает;talks
высокий;tall
задача;task
налоги;taxes
учитель;teacher
обучение;teaching
команда;team
техника;technique
технология;technology
зубы;teeth
телефон;telephone
телевизор;television
рассказать;tell
рассказывает;tells
температуры;temperatures
десять;ten
теннис;tennis
тест, проверка, анализ;test
текст;text
чем;than
благодарить;thank
что, которые, это;that
театр;theater
тогда;then
теория;theory
там;there
эти;these
вещи;things
думать;think
думать;thinking
думает;thinks
третий;third
тринадцать;thirteen
тридцать;thirty
это, эта, эту;this
тех, те, эти;those
хотя;though
тысячи;thousands
угроза;threat
три;three
сквозь, через;through
четверг;thursday
время, раз, срок;time
усталый;tired
заголовок, название, звание;title
на, для, в, до;to
сегодня;today
вместе;together
сказал, рассказал;told
завтра;tomorrow
язык;tongue
этим вечером;tonight
слишком, тоже;too
зубная щетка;toothbrush
зубная паста;toothpaste
верх;top
полный, тотальный;total
прикосновение;touch
касаться;touching
турист;tourist
в направлении к;towards
башни;towers
город;town
торговля;trade
традиция;tradition
традиционный;traditional
трафик;traffic
поезд;train
тренировка;training
транспорт;transportation
путешествия;travel
путешествует;travels
лечение;treatment
деревья;trees
тренд, тенденция;trend
попробовал, попытался;tried
пытается;tries
поездка;trip
истинный;true
доверять;trust
правда, истина;truth
попробовать;try
пытаться;trying
вторник;tuesday
поворот, поворот, очередь;turn
повернулся, превратился, обернулся;turned
поворачивает, превращает;turns
телевизор;tv
двенадцать;twelve
двадцать;twenty
дважды;twice
два;two
типы;types
зонтик;umbrella
дядя;uncle
под;under
понимать;understand
союз;union
единица;unit
вселенная;universe
университет;university
до;until
вверх;up
использовать;use
использует;uses
обычно;usually
долина;valley
ценность;value
транспортное средство;vehicle
версия;version
очень;very
жертвы;victims
вид;view
деревня;village
насилие;violence
скрипка;violin
вирус;virus
видение;vision
посещение;visit
посещает;visits
голос;voice
вулкан;volcano
волейбол;volleyball
объем;volume
голосование;vote
ожидать, ждать;wait
официант;waiter
ждать;waiting
официантка;waitress
будить, просыпаться;wake
прогулка, ходить;walk
ходил, шел;walked
ходить;walking
ходит;walks
стена;wall
кошелек;wallet
хотеть;want
хотел, захотел;wanted
хочет;wants
война;war
часы;watch
смотрит, наблюдает;watches
смотреть;watching
путь, способ;way
слабый;weak
богатство;wealth
оружие;weapon
носить;wearing
погода;weather
среда;wednesday
неделя;week
вес;weight
хорошо;well
запад;west
колесо;wheel
когда;when
когда;whenever
пока, хотя, во время;while
полный, целый;whole
жена;wife
выигрывать;win
ветер;wind
окно;window
выигрывает;wins
зима;winter
желать;wish
желания, желает;wishes
с;with
без;without
выиграл;won
дерево;wood
деревянный;wooden
слова;words
работа, работать;work
работники;workers
работать;working
работает;works
мир;world
хуже;worse
худший;worst
стоимость;worth
бы;would
писать;write
писатель;writer
пишет;writes
писать;writing
написал;written
неправильный;wrong
двор;yard
год;year
пока еще;yet
молодой;young
молодой;younger
молодежь;youth
зона;zone
зоопарк;zoo
